date,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_3,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score
2024-07-01,CHI,Chicago,1297478.9336806985,11068.470347955108,117.22296694054084,115.51576782447417,118.94923658094224,131.6373766144297,121.48386451170245,118.94923658094224,121.48386451170245,-0.028864991950845152,-0.049126661480655975,-0.042402739719838274,-0.047761265762624294,0.03687927538710571,31,-0.5408306753699536,-0.9662985077997108,-0.9506268681937382,-0.8355238301495891
2024-08-01,CHI,Chicago,1360112.502225006,11068.470347955108,122.881704469334,116.61321583388825,115.51576782447417,127.99302098709883,119.99394616753288,115.51576782447417,119.99394616753288,0.00950041738961255,-0.028174174128122554,-0.030007664260434105,-0.04579159289005888,0.03694771581304107,32,0.1250136007066255,-0.7262832719861836,-0.6752089629977798,-0.4606793483806601
2024-09-01,CHI,Chicago,1336928.6539916992,11068.470347955108,120.78711980636923,120.29726373874803,116.61321583388825,118.94923658094224,119.28608813865736,116.61321583388825,119.28608813865736,0.03159202735741023,0.008476894630958832,0.004075817598725874,-0.02294131365927322,0.03813130332151615,33,0.5084207452998311,-0.3064374196528053,0.08212415741595747,0.015732345246738146
2024-10-01,CHI,Chicago,1351756.0195203424,11068.470347955108,122.1267236597041,121.93184931180242,120.29726373874803,115.51576782447417,118.2196512852748,120.29726373874803,118.2196512852748,0.013587886559117893,0.031400854140313426,0.018226777102046888,0.0039011915477165766,0.03813199432992435,34,0.19595297023094796,-0.04383854750733558,0.3965577109414851,0.11617815950391362
2024-11-01,CHI,Chicago,1550137.8792926073,11068.470347955108,140.04987415257378,127.65457253954902,121.93184931180242,116.61321583388825,120.19046297419305,121.93184931180242,120.19046297419305,0.046933785225487155,0.06210234473394649,0.03070456638067176,0.03399336450173959,0.040052686332394276,35,0.774681990442849,0.3078536110738577,0.6738135127194479,0.5210941052136732
2024-12-01,CHI,Chicago,1621743.327005237,11068.470347955108,146.51919154346862,136.2319297852488,127.65457253954902,120.29726373874803,120.88126532380322,127.65457253954902,120.88126532380322,0.06719193112367684,0.12698960769748682,0.04257120096942729,0.07349760219058225,0.04380144812344346,36,1.1262687641048583,1.0511511231759427,0.9374894903982527,1.0509540888990796
2025-01-01,CHI,Chicago,2164618.5087480545,11068.470347955108,195.56618400734715,160.71174990112982,136.2319297852488,121.93184931180242,129.23449015579317,136.2319297852488,129.23449015579317,0.1796922362802181,0.2435670207495737,0.09793931754312736,0.14421965772700238,0.06409517652460653,37,3.078748498665089,2.3865703893207058,2.1677660410588926,2.5504629524716576
2025-02-01,CHI,Chicago,1980425.655804068,11068.470347955108,178.92496375255232,173.67011310112267,160.71174990112982,127.65457253954902,131.46102586890825,160.71174990112982,131.46102586890825,0.08063108769560941,0.32107681309519776,0.10917175169983478,0.23054448051408613,0.0664077661543032,38,1.3595097390494901,3.27446168235342,2.4173501194958464,2.5285537867907264
2025-03-01,CHI,Chicago,1586729.8472178578,11068.470347955108,143.3558384615454,172.61566207381495,173.67011310112267,136.2319297852488,136.62265839000818,173.67011310112267,136.62265839000818,-0.006071574483824669,0.26344827503692525,0.08475058316400093,0.2760307029605656,0.0668350086210815,39,-0.14524343119490038,2.614314420650256,1.87471307766374,1.638526796499406
2025-04-01,CHI,Chicago,1549611.4052545575,11068.470347955108,140.00230894965964,154.0943703879191,172.61566207381495,160.71174990112982,131.6373766144297,172.61566207381495,131.6373766144297,-0.10729786314509318,0.17059739681129224,-0.010912783311102825,0.2517074949811385,0.07505177051561526,40,-1.9020589077472236,1.5506876990179055,-0.25092174278235385,0.15454182862831492
2025-05-01,CHI,Chicago,1461092.909547154,11068.470347955108,132.0049531340245,138.45436684840985,154.0943703879191,173.67011310112267,127.99302098709883,154.0943703879191,127.99302098709883,-0.10149626816435221,0.08173372095315633,-0.07162190193109003,0.17192646426712463,0.08166507536439921,41,-1.8013703219495125,0.5327352355473358,-1.5998750695589208,-0.59401849272297
2025-06-01,CHI,Chicago,1435659.2409224203,11068.470347955108,129.707104576348,133.90478888667738,138.45436684840985,172.61566207381495,118.94923658094224,138.45436684840985,118.94923658094224,-0.03285976502795093,0.1257305446896099,-0.08055129877913213,0.12602055415135285,0.07897426657916261,42,-0.6101612737746668,1.0367282864188962,-1.7982857837660104,-0.02434139567615401
2025-07-01,CHI,Chicago,1414834.7928117216,11068.470347955108,127.82568397747131,129.84591389594794,133.90478888667738,154.0943703879191,115.51576782447417,133.90478888667738,115.51576782447417,-0.03031164922835158,0.12405359321377137,-0.05488922747355158,0.11050595295217923,0.07904457609082709,43,-0.5659378874193347,1.0175184476465766,-1.22807594961692,0.09336266767410387
2025-08-01,CHI,Chicago,1410658.7381935716,11068.470347955108,127.44839113691891,128.32705989691274,129.84591389594794,138.45436684840985,116.61321583388825,129.84591389594794,116.61321583388825,-0.011697356916847883,0.10045039903290624,-0.02495625705771681,0.1167448456454292,0.07935617241457647,44,-0.2428807325003369,0.7471387966793691,-0.5629669686169685,0.18811178486618974
2025-09-01,CHI,Chicago,1383545.5760748982,11068.470347955108,124.99880584949187,126.7576269879607,128.32705989691274,133.90478888667738,120.29726373874803,128.32705989691274,120.29726373874803,-0.012229945190147655,0.05370332664625503,-0.018079650445115714,0.0927357729643109,0.07932190652348348,45,-0.25212397685452137,0.21164105773824624,-0.41016914223001144,-0.05185049263323559
2025-10-01,CHI,Chicago,1439179.9857100844,11068.470347955108,130.02519232262043,127.49079643634373,126.7576269879607,129.84591389594794,121.93184931180242,126.7576269879607,121.93184931180242,0.005784026301254906,0.045590607834758934,-0.006047758601913554,0.0665814445046401,0.07929651620939324,46,0.060514413121118486,0.11870812400736694,-0.14282115731033157,0.04894415447795271
2025-11-01,CHI,Chicago,1473256.3305956123,11068.470347955108,133.1038783392319,129.37595883711472,127.49079643634373,128.32705989691274,127.65457253954902,127.49079643634373,127.65457253954902,0.014786654828940987,0.013484721019549796,0.002780245313349403,0.03759288516685461,0.07834446635816988,47,0.2167579871596272,-0.2490716944600141,0.05333661142343949,-0.04884112879743099
