date,dataset_name,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score,trend_label
2025-02-01,states,NJ,New Jersey,2534193.293229034,45976.81995155504,55.11893375616819,59.00306460558278,56.1817766767005,49.24373456614364,56.1817766767005,49.24373456614364,0.050217136156399125,0.19818419795782383,0.11441560145947859,0.08052068662183366,38,0.4857403592498625,0.762321787627505,1.482686102842246,0.8234202221571605,Strong
2025-03-01,states,NJ,New Jersey,2202911.4267644696,45976.81995155504,47.91352314243653,56.80871525309851,59.00306460558278,48.93253000660882,59.00306460558278,48.93253000660882,-0.037190430143803764,0.1609601066085472,0.06593497846521541,0.08185256971717036,39,-0.41926578678071585,0.5554201948195654,0.8549998631958293,0.3229303340147338,Stable
2025-04-01,states,NJ,New Jersey,2178688.349999405,45976.81995155504,47.38666902789386,50.13970864216619,56.80871525309851,46.99105699833415,56.80871525309851,46.99105699833415,-0.1173940755607666,0.06700533771657148,-0.03478912318272376,0.08934586715413761,40,-1.2496835081380957,0.03319411404702816,-0.4490908992648703,-0.44812617527088866,Stable
2025-05-01,states,NJ,New Jersey,2166586.758668864,45976.81995155504,47.12345831990465,47.474550163411685,50.13970864216619,41.70714999559086,50.13970864216619,41.70714999559086,-0.05315464630588573,0.1382832480385386,-0.06924638400348537,0.08346446546524389,41,-0.5845571265901773,0.42937606619353946,-0.8952144665230508,-0.13972199818489364,Stable
2025-06-01,states,NJ,New Jersey,2120961.42538116,45976.81995155504,46.13110318669233,46.88041017816361,47.474550163411685,38.810404197707946,47.474550163411685,38.810404197707946,-0.012514915532701072,0.20793408745102063,-0.06102121246645115,0.07983112131727688,42,-0.16377883839895505,0.8165143170546341,-0.7887218788939958,0.20137913122883133,Stable
2025-07-01,states,NJ,New Jersey,2098595.097603146,45976.81995155504,45.64463353086183,46.299731679152934,46.88041017816361,37.18816883355846,46.88041017816361,37.18816883355846,-0.012386378378599325,0.24501240935994242,-0.026018646739062054,0.07824051692977489,43,-0.16244798205116665,1.022605683788574,-0.33553816337117265,0.39546081460470245,Stable
2025-08-01,states,NJ,New Jersey,1953616.8343965488,45976.81995155504,42.49134316934142,44.755693295631865,46.299731679152934,39.46634621781211,46.299731679152934,39.46634621781211,-0.03334875446408458,0.13402170671255464,-0.019416682791795,0.07859705132703239,44,-0.37948959521783515,0.4056892640124012,-0.25006149932682575,0.0389854535754849,Stable
2025-09-01,states,NJ,New Jersey,1832583.8785921184,45976.81995155504,39.85886541355144,42.664947371251564,44.755693295631865,40.71740981792564,44.755693295631865,40.71740981792564,-0.046714636070319934,0.04783058554153237,-0.03081658963766795,0.0801689912756769,45,-0.517878129675086,-0.07338435766065514,-0.3976578835822874,-0.27158719444931084,Stable
2025-10-01,states,NJ,New Jersey,1919776.9855387656,45976.81995155504,41.75532339038674,41.36851065775986,42.664947371251564,41.691458446817876,42.664947371251564,41.691458446817876,-0.030386459924834325,-0.007746137964205998,-0.03681661681974629,0.08064176255560676,46,-0.34881839731299114,-0.3822948562001228,-0.47534117779533186,-0.3908611828530252,Stable
2025-11-01,states,NJ,New Jersey,1990281.6224305143,45976.81995155504,43.28880563135161,41.634331478429935,41.36851065775986,42.78781407104685,41.36851065775986,42.78781407104685,0.006425680220136464,-0.026958203349711257,-0.02355847192500594,0.0803053832286719,47,0.03232953403789259,-0.48908072484882975,-0.30368589369034704,-0.2955786809511165,Stable
