date,avg_density,avg_yoy,avg_mom,total_ntl,total_ntl_lag_12,national_yoy_pct,index_level,dataset_name
2024-01-01,14.320303950084563,0.0777683794641611,0.13944515522245743,64079591.9386268,59782399.711012036,0.07188055762879014,185.40130061293692,counties
2024-02-01,14.574150524405104,-0.05989995618342496,-0.07682992359403706,58132913.02855306,58903134.50679953,-0.013076069460404594,171.15693285260988,counties
2024-03-01,14.609744899303923,0.0024842578148866834,-0.005868473600316332,57299892.814957485,58239837.4089349,-0.016139203606931978,170.15250291065323,counties
2024-04-01,13.736322959559391,-0.06704816176191297,-0.11519910447503873,54073639.521903954,54109223.213713855,-0.0006576271048903453,150.55108695115956,counties
2024-05-01,12.88801323080441,-0.12995161063356617,-0.06744476203440405,49868921.78742141,55455734.01167898,-0.1007436349698479,140.39720471771773,counties
2024-06-01,11.972993653893583,-0.2833074525261937,-0.1384082935436876,45680408.57555852,57295802.83284547,-0.20272679119574696,120.96506719443464,counties
2024-07-01,11.42939470355518,-0.34738534674753213,-0.09374338265272161,47468386.9634401,54285332.95866403,-0.12557620306786635,109.62539261281457,counties
2024-08-01,11.788582311397386,-0.2781731177557189,0.13288736470249887,54485435.39605693,52432649.92720012,0.03915090066412788,124.19322214160827,counties
2024-09-01,12.22773864184594,-0.1026116447462092,0.09820807091919236,51646584.18912411,50651021.63690963,0.019655330140251507,136.38999890937436,counties
2024-10-01,12.66245175190041,0.05522625684528281,0.10810250579683084,53291436.103164755,51781009.82127514,0.02916950223842549,151.13409955710475,counties
2024-11-01,12.886579096647468,-0.07963400551633569,0.025441380922229577,55886326.77472375,58724061.87592267,-0.04832320875886845,154.97915975427523,counties
2024-12-01,14.061936734327748,0.056417535730693545,0.28797624943593997,66932944.80213716,57410433.76569674,0.1658672546405703,199.60947692104477,counties
2025-01-01,15.88737603670741,0.05200771783845746,0.1378211147390999,70006884.63798787,64079591.9386268,0.0924989145536073,227.1198775427918,counties
2025-02-01,16.817139915259304,0.2628855066834045,0.08948151081687307,66479324.95278049,58132913.02855306,0.14357463766056133,247.44290732186406,counties
2025-03-01,16.44553088847786,0.14732599054631984,-0.0745939377851112,61603098.8217254,57299892.814957485,0.07509972175104332,228.98516648772988,counties
2025-04-01,15.192349440634644,0.20880031320254355,-0.07149775851497212,59602741.52238162,54073639.521903954,0.10225133816335695,212.6132403506795,counties
2025-05-01,14.621580214380854,0.4842109447002857,0.1356419264793414,63496258.27335207,49868921.78742141,0.27326310650991303,241.45250986686088,counties
2025-06-01,15.338249317915869,2.9536457225969057,0.7277391041216936,84669550.89157976,45680408.57555852,0.8535199997506706,417.1669430853046,counties
2025-07-01,15.356774019265465,4.379750745072895,0.07869190635186292,64875987.07831906,47468386.9634401,0.3667198577505109,449.9946051036663,counties
