date,region_id,region_name,ntl_sum,area_km2,light_density
2024-03-01,DET,Detroit,912027.8262122571,8233.930206876415,110.76458061917914
2024-04-01,DET,Detroit,875206.0826431215,8233.930206876415,106.29262826544354
2024-05-01,DET,Detroit,702259.633793354,8233.930206876415,85.28850939334836
2024-06-01,DET,Detroit,664284.678182736,8233.930206876415,80.67650095308932
2024-07-01,DET,Detroit,629408.8556708954,8233.930206876415,76.4408781538197
2024-08-01,DET,Detroit,747375.5755491722,8233.930206876415,90.76778121400825
2024-09-01,DET,Detroit,771311.6619964037,8233.930206876415,93.67478744867876
2024-10-01,DET,Detroit,974982.2906515598,8233.930206876415,118.41031757074177
2024-11-01,DET,Detroit,972946.518692214,8233.930206876415,118.1630757423321
2024-12-01,DET,Detroit,1134043.5769856423,8233.930206876415,137.72810170756205
2025-01-01,DET,Detroit,1191553.7758605778,8233.930206876415,144.71263976290126
2025-02-01,DET,Detroit,1247855.4080448747,8233.930206876415,151.55039898234153
2025-03-01,DET,Detroit,924695.8865689635,8233.930206876415,112.3030998971452
2025-04-01,DET,Detroit,908572.7001682818,8233.930206876415,110.34496010295351
2025-05-01,DET,Detroit,820905.7676962167,8233.930206876415,99.69792639372294
2025-06-01,DET,Detroit,805237.8147479678,8233.930206876415,97.79507410391798
2025-07-01,DET,Detroit,796035.6139664352,8233.930206876415,96.67747891543223
2025-08-01,DET,Detroit,822243.8825493455,8233.930206876415,99.86043868366332
2025-09-01,DET,Detroit,888446.4619740248,8233.930206876415,107.9006549305039
2025-10-01,DET,Detroit,1137934.8413588703,8233.930206876415,138.200690650565
2025-11-01,DET,Detroit,1089782.4558927119,8233.930206876415,132.35264673273525
2025-12-01,DET,Detroit,1272302.9995241761,8233.930206876415,154.51952683077587
2026-01-01,DET,Detroit,2148568.2375276685,8233.930206876415,260.9407881224608
2022-01-01,DFW,Dallas-Fort Worth,1399326.6853172183,14534.097733766232,96.2788823186625
2022-02-01,DFW,Dallas-Fort Worth,1668683.9144470096,14534.097733766232,114.81166185983822
2022-03-01,DFW,Dallas-Fort Worth,1568406.6720115542,14534.097733766232,107.91221448633618
2022-04-01,DFW,Dallas-Fort Worth,1522935.4044631124,14534.097733766232,104.78362209750141
2022-05-01,DFW,Dallas-Fort Worth,1495116.6980919242,14534.097733766232,102.86959159620936
2022-06-01,DFW,Dallas-Fort Worth,1527531.8062030673,14534.097733766232,105.09987163869421
2022-07-01,DFW,Dallas-Fort Worth,1477234.361012876,14534.097733766232,101.63922027171337
2022-08-01,DFW,Dallas-Fort Worth,1493439.309647262,14534.097733766232,102.75418103028443
2022-09-01,DFW,Dallas-Fort Worth,1486946.360926509,14534.097733766232,102.30744200047397
2022-10-01,DFW,Dallas-Fort Worth,1515436.1868587732,14534.097733766232,104.26764802455179
2022-11-01,DFW,Dallas-Fort Worth,1585537.6084472537,14534.097733766232,109.09088665089031
2022-12-01,DFW,Dallas-Fort Worth,1645327.2080897987,14534.097733766232,113.20463356093339
2023-01-01,DFW,Dallas-Fort Worth,1594975.1611722112,14534.097733766232,109.74022539195518
2023-02-01,DFW,Dallas-Fort Worth,1605793.1907768846,14534.097733766232,110.4845460785803
2023-03-01,DFW,Dallas-Fort Worth,1600721.694612205,14534.097733766232,110.13560827331858
2023-04-01,DFW,Dallas-Fort Worth,1582874.0363758802,14534.097733766232,108.9076229822289
2023-05-01,DFW,Dallas-Fort Worth,1610263.8069463968,14534.097733766232,110.79214110452578
2023-06-01,DFW,Dallas-Fort Worth,1566588.9244565368,14534.097733766232,107.7871466913953
2023-07-01,DFW,Dallas-Fort Worth,1568599.494377911,14534.097733766232,107.92548138256112
2023-08-01,DFW,Dallas-Fort Worth,1604282.2790738344,14534.097733766232,110.38058973187567
2023-09-01,DFW,Dallas-Fort Worth,1584938.6054881215,14534.097733766232,109.04967301863707
2023-10-01,DFW,Dallas-Fort Worth,1597220.0527963936,14534.097733766232,109.8946822880972
2023-11-01,DFW,Dallas-Fort Worth,1609519.5938413143,14534.097733766232,110.74093647395877
2023-12-01,DFW,Dallas-Fort Worth,1718628.1032497287,14534.097733766232,118.24800787302668
2024-01-01,DFW,Dallas-Fort Worth,1706723.8741992116,14534.097733766232,117.4289526231875
2024-02-01,DFW,Dallas-Fort Worth,1714402.2409982681,14534.097733766232,117.95725282728051
2024-03-01,DFW,Dallas-Fort Worth,1732849.265266478,14534.097733766232,119.2264767313797
2024-04-01,DFW,Dallas-Fort Worth,1675767.918968618,14534.097733766232,115.29906772784408
2024-05-01,DFW,Dallas-Fort Worth,1494118.070250392,14534.097733766232,102.80088228519294
2024-06-01,DFW,Dallas-Fort Worth,1548118.7774726152,14534.097733766232,106.51633185842421
2024-07-01,DFW,Dallas-Fort Worth,1602160.3340796232,14534.097733766232,110.23459202131389
2024-08-01,DFW,Dallas-Fort Worth,1697626.7901092172,14534.097733766232,116.80303939096396
2024-09-01,DFW,Dallas-Fort Worth,1676850.9911147952,14534.097733766232,115.3735871212056
2024-10-01,DFW,Dallas-Fort Worth,1679776.6194357872,14534.097733766232,115.5748812348536
2024-11-01,DFW,Dallas-Fort Worth,1709854.093705237,14534.097733766232,117.64432337157272
2024-12-01,DFW,Dallas-Fort Worth,1850662.5067489147,14534.097733766232,127.33246608417784
2025-01-01,DFW,Dallas-Fort Worth,1846094.5649491549,14534.097733766232,127.0181746927592
2025-02-01,DFW,Dallas-Fort Worth,1732190.3692777753,14534.097733766232,119.18114223585253
2025-03-01,DFW,Dallas-Fort Worth,1817913.1354590654,14534.097733766232,125.07918749133032
2025-04-01,DFW,Dallas-Fort Worth,1720376.0178729892,14534.097733766232,118.36827090244059
