date,dataset_name,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_3,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score
2024-02-01,metros,SAT,San Antonio,415654.8177182674,7742.335840342831,53.68597104150706,54.891206225118424,54.13336688192305,51.21596373541852,50.82252666356368,54.13336688192305,50.82252666356368,0.013999486580030909,0.08005661718648306,0.023419955729682237,0.08489279396638934,0.013943863019762465,26,0.18373077083866288,0.5160714574287427,0.49889195485314275,0.4129333509365988
2024-03-01,metros,SAT,San Antonio,409326.24797058105,7742.335840342831,52.868573052296846,53.240418009832666,54.891206225118424,53.139627780362275,50.32292012486692,54.891206225118424,50.32292012486692,-0.030073819265614,0.057975528401899616,0.0008753984653912921,0.0777187479463763,0.016993662777130845,27,-0.550019615784892,0.2589091210627061,-0.0017972787931947634,-0.035910779962753506
2024-04-01,metros,SAT,San Antonio,407060.2198377252,7742.335840342831,52.57589288708775,53.04347899363055,53.240418009832666,54.13336688192305,50.45934568978021,53.240418009832666,50.45934568978021,-0.0036990509008727936,0.051212184155882176,-0.0065911278621519605,0.06308144324808829,0.017166519964726137,28,-0.11092170575943208,0.18014138343339303,-0.16762042187435083,0.023270095613996726
2024-05-01,metros,SAT,San Antonio,375186.1081138253,7742.335840342831,48.45903301673518,51.301166318706585,53.04347899363055,54.891206225118424,49.81028645660606,53.04347899363055,49.81028645660606,-0.032846877843988743,0.029931164186324417,-0.022206582670158515,0.04637295891470208,0.019757256777178316,29,-0.5961866269716258,-0.06770313496937093,-0.5144220915280626,-0.3155919738817857
2024-06-01,metros,SAT,San Antonio,378717.4716024399,7742.335840342831,48.91514388061862,49.98335659481385,51.301166318706585,53.240418009832666,50.003744870085505,51.301166318706585,50.003744870085505,-0.0256877146945528,-0.0004077349671435077,-0.02074454781313811,0.026911871125021025,0.021366678265683777,30,-0.4769979564598856,-0.4210381659179623,-0.4819519434766189,-0.4500088585922706
2024-07-01,metros,SAT,San Antonio,394525.1409366727,7742.335840342831,50.95686225349831,49.4436797169507,49.98335659481385,53.04347899363055,49.54960712034483,49.98335659481385,49.54960712034483,-0.01079713157797703,-0.002137805111892406,-0.02311057470550619,0.009128541369096169,0.021439844205674186,31,-0.229093450337677,-0.4411870310776993,-0.5344987368174132,-0.39622129800363537
2024-08-01,metros,SAT,San Antonio,431153.0064985156,7742.335840342831,55.68771690991696,51.85324101467796,49.4436797169507,51.301166318706585,50.235303555288986,49.4436797169507,50.235303555288986,0.04873345413450689,0.03220717990901108,0.004082869287325687,0.009887213276658388,0.025470152739843585,32,0.7619960412344201,-0.041196039845484506,0.06943703683122561,0.2218881998138289
2024-09-01,metros,SAT,San Antonio,427553.650285244,7742.335840342831,55.222824106569874,53.95580108999505,51.85324101467796,49.98335659481385,50.68274973384744,51.85324101467796,50.68274973384744,0.04054828655207724,0.06457919851104234,0.026161536369535703,0.03154952443605367,0.027685432126669383,33,0.6257260301029586,0.3358172504772013,0.5597793740850164,0.4675823090864915
2024-10-01,metros,SAT,San Antonio,426012.9477254152,7742.335840342831,55.02382698327271,55.31145599991984,53.95580108999505,49.4436797169507,50.92225935188345,53.95580108999505,50.92225935188345,0.02512528555851934,0.08619406726842442,0.03813567541503449,0.060993481896159274,0.0282489339549794,34,0.3689576138295777,0.5875498622211692,0.8257115204555137,0.5696045193505607
2024-11-01,metros,SAT,San Antonio,443310.28265333176,7742.335840342831,57.25795054554259,55.83486721179506,55.31145599991984,51.85324101467796,51.21596373541852,55.31145599991984,51.21596373541852,0.009462980180380212,0.09018483963784761,0.025045517430325598,0.08031936847243813,0.028251120449278994,35,0.10820516047665164,0.6340274773622494,0.5349938499845732,0.45647405682103487
